tool_name,tool_version,input_name,input_extension,input_edam_format
tophat2,2.1.1,params|own_junctions|gene_model_ann|gene_annotation_model,gtf,format_2306
tophat2,2.1.1,params|own_junctions|raw_juncs|raw_juncs,interval,format_3475
bowtie_color_wrapper,1.1.2,refGenomeSource|ownFile,bowtie_color_index,format_2331
bowtie_color_wrapper,1.1.2,singlePaired|sInput1,fastqcssanger,format_1930
bowtie_color_wrapper,1.1.2,singlePaired|pInput1,fastqcssanger,format_1930
bowtie_color_wrapper,1.1.2,singlePaired|pInput2,fastqcssanger,format_1930
bfast_wrapper,0.1.3,input1,fastqsanger,format_1932
bfast_wrapper,0.1.3,refGenomeSource|ownFile,fasta,format_1929
bfast_wrapper,0.1.3,refGenomeSource|indexing_option|exons_file,tabular,format_3475
bfast_wrapper,0.1.3,params|scoringMatrixFileName,text,None
PerM,1.1.2,s|sourceOfRef|ref,fasta,format_1929
PerM,1.1.2,s|mate|reads,fastqcssanger,format_1930
PerM,1.1.2,s|mate|reads1,fastqcssanger,format_1930
PerM,1.1.2,s|mate|reads2,fastqcssanger,format_1930
PerM,1.1.2,s|mate|reads,fastqsanger,format_1932
PerM,1.1.2,s|mate|reads1,fastqsanger,format_1932
PerM,1.1.2,s|mate|reads2,fastqsanger,format_1932
srma_wrapper,0.2.5,refGenomeSource|ownFile,fasta,format_1929
srma_wrapper,0.2.5,input,bam,format_2572
mosaik_wrapper,1.1.2,genomeSource|historyReference,fasta,format_1929
mosaik_wrapper,1.1.2,reads,fastq,format_1930
mosaik_wrapper,1.1.2,paired|reads2,fastq,format_1930
snp_dists,0.6.3+galaxy0,input,fasta,format_1929
snp_sites,2.5.1+galaxy0,input_fasta,fasta,format_1929
bcftools_call,1.9+galaxy1,input_file,vcf,format_3016
bcftools_consensus,1.9+galaxy2,input_file,vcf,format_3016
bcftools_consensus,1.9+galaxy2,reference_source|fasta_ref,fasta,format_1929
snippy_core,4.4.5+galaxy0,indirs,zip,format_2333
snippy_core,4.4.5+galaxy0,reference_source|ref_file,fasta,format_1929
snippy,4.4.5+galaxy0,reference_source|ref_file,fasta,format_1929
snippy,4.4.5+galaxy0,fastq_input|fastq_input1,fastqsanger,format_1932
snippy,4.4.5+galaxy0,fastq_input|fastq_input2,fastqsanger,format_1932
snippy,4.4.5+galaxy0,fastq_input|fastq_input_single,fastqsanger,format_1932
snippy,4.4.5+galaxy0,fastq_input|fastq_input_interleaved,fastqsanger,format_1932
varscan_copynumber,2.4.3.2,pileup|normal_pileup,pileup,format_3015
varscan_copynumber,2.4.3.2,pileup|tumor_pileup,pileup,format_3015
varscan_copynumber,2.4.3.2,pileup|combined_pileup,pileup,format_3015
varscan_mpileup,2.4.3.1,input,pileup,format_3015
gatk4_mutect2,4.1.4.0+galaxy0,input,bam,format_2572
gatk4_mutect2,4.1.4.0+galaxy0,reference_source|reference_sequence,fasta,format_1929
gatk4_mutect2,4.1.4.0+galaxy0,common|excl_ival_type|exclude_intervals,bed,format_3003
gatk4_mutect2,4.1.4.0+galaxy0,common|seqdict_source|seqdict_sequence,txt,format_2330
gatk4_mutect2,4.1.4.0+galaxy0,optional|ival_type|intervals,bed,format_3003
gatk4_mutect2,4.1.4.0+galaxy0,optional|pedigree,vcf,format_3016
gatk4_mutect2,4.1.4.0+galaxy0,optional|alleles,vcf,format_3016
gatk4_mutect2,4.1.4.0+galaxy0,optional|germline_resource,vcf,format_3016
gatk4_mutect2,4.1.4.0+galaxy0,optional|panel_of_normals,vcf,format_3016
gatk4_mutect2,4.1.4.0+galaxy0,optional|population_callset,,None
exomedepth,1.1.0,targetFile,bed,format_3003
exomedepth,1.1.0,inputs|input,bam,format_2572
freebayes,1.3.1,reference_source|batchmode|input_bams,bam,format_2572
freebayes,1.3.1,reference_source|ref_file,fasta,format_1929
freebayes,1.3.1,target_limit_type|input_target_bed,bed,format_3003
freebayes,1.3.1,options_type|optional_inputs|samples,txt,format_2330
freebayes,1.3.1,options_type|optional_inputs|populations,txt,format_2330
freebayes,1.3.1,options_type|optional_inputs|A,bed,format_3003
freebayes,1.3.1,options_type|optional_inputs|input_variant_type|input_variant_vcf,vcf_bgzip,format_3016
freebayes,1.3.1,options_type|optional_inputs|haplotype_basis_alleles,vcf,format_3016
freebayes,1.3.1,options_type|optional_inputs|observation_bias,tabular,format_3475
freebayes,1.3.1,options_type|optional_inputs|contamination_estimates,tabular,format_3475
bamleftalign,1.3.1,reference_source|input_bam,bam,format_2572
bamleftalign,1.3.1,reference_source|ref_file,fasta,format_1929
snpEff_build_gb,4.3+T.galaxy4,input_type|input_gbk,genbank,format_1936
snpEff_build_gb,4.3+T.galaxy4,input_type|input_gff,gff3,format_1975
snpEff_build_gb,4.3+T.galaxy4,input_type|reference_source|input_fasta,fasta,format_1929
snpEff_build_gb,4.3+T.galaxy4,input_type|input_gtf,gtf,format_2306
mixcr_analyze,3.0.5.0,fastq_input|fastq_input1,fastqsanger,format_1932
mixcr_analyze,3.0.5.0,fastq_input|fastq_input2,fastqsanger,format_1932
mixcr_analyze,3.0.5.0,fastq_input|fastq_input1,fastqsanger,format_1932
mixcr_analyze,3.0.5.0,imgt|library,imgt.json,format_3464
tb_variant_filter,0.1.3+galaxy0,input1,vcf,format_3016
tbvcfreport,0.1.7+galaxy0,input_vcf,vcf,format_3016
tbvcfreport,0.1.7+galaxy0,tbprofiler_json,json,format_3464
varscan_somatic,2.4.3.5,reference|genome,fasta,format_1929
varscan_somatic,2.4.3.5,normal_bam,bam,format_2572
varscan_somatic,2.4.3.5,tumor_bam,bam,format_2572
bcftools_cnv,1.9+galaxy1,input_file,vcf,format_3016
bcftools_cnv,1.9+galaxy1,AF_file,tabular,format_3475
bcftools_plugin_color_chrs,1.9+galaxy1,input_file,vcf,format_3016
bcftools_plugin_frameshifts,1.9+galaxy1,input_file,vcf,format_3016
bcftools_plugin_frameshifts,1.9+galaxy1,exons,bed,format_3003
bcftools_csq,1.9+galaxy1,input_file,vcf,format_3016
basil,1.2.0,ref,Fasta,None
basil,1.2.0,bam,sam,format_2573
vcffilter2,1.0.0_rc1+galaxy3,input1,vcf,format_3016
snpSift_filter,4.3+t.galaxy0,input,vcf,format_3016
snpSift_int,4.3+t.galaxy0,input,vcf,format_3016
snpSift_int,4.3+t.galaxy0,bedFile,bed,format_3003
snpSift_rmInfo,4.3+t.galaxy0,input,vcf,format_3016
snpSift_annotate,4.3+t.galaxy1,input,vcf,format_3016
snpSift_annotate,4.3+t.galaxy1,dbSnp,vcf,format_3016
snpsift_vartype,4.3.1,input,vcf,format_3016
snpEff_get_chr_names,4.3+T.galaxy1,snpDb|snpeff_db,snpeffdb,format_3624
snpSift_caseControl,4.3+t.galaxy0,input,vcf,format_3016
snpSift_caseControl,4.3+t.galaxy0,ctrl|tfam,tabular,format_3475
snpSift_extractFields,4.3+t.galaxy0,input,vcf,format_3016
snpSift_vcfCheck,4.3+t.galaxy0,input,vcf,format_3016
snpEff,4.3+T.galaxy1,input,vcf,format_3016
snpEff,4.3+T.galaxy1,snpDb|snpeff_db,snpeffdb,format_3624
snpEff,4.3+T.galaxy1,intervals,bed,format_3003
snpEff,4.3+T.galaxy1,transcripts,tabular,format_3475
snpSift_geneSets,4.3.0,input,vcf,format_3016
snpSift_geneSets,4.3.0,db_opts|histdb,txt,format_2330
snpSift_dbnsfp,4.3.0,input,vcf,format_3016
snpSift_dbnsfp,4.3.0,db|dbnsfpdb,snpsiftdbnsfp,format_2330
snpSift_dbnsfp_generic,4.1.1,input,vcf,format_3016
snpSift_dbnsfp_generic,4.1.1,db|dbnsfpdb,snpsiftdbnsfp,format_2330
SnpEff-cds-report,1.2,snp_effect_vcf,vcf,format_3016
snpeff_to_peptides,0.0.1,snpeff_vcf,vcf,format_3016
snpeff_to_peptides,0.0.1,all_pep_fasta,fasta,format_1929
naive_variant_caller,0.0.1,reference_source|input_bams|input_bam,bam,format_2572
naive_variant_caller,0.0.1,reference_source|ref_file,fasta,format_1929
allele_counts_1,1.1,input,vcf,format_3016
snpSift_int,3.4,input,vcf,format_3016
snpSift_int,3.4,bedFile,bed,format_3003
snpSift_annotate,3.4,input,vcf,format_3016
snpSift_annotate,3.4,dbSnp,vcf,format_3016
snpSift_filter,3.4,input,vcf,format_3016
snpSift_caseControl,3.4,input,vcf,format_3016
snpSift_caseControl,3.4,ctrl|tfam,tabular,format_3475
crispr_studio,1+galaxy0,input_data,gff,format_2305
crispr_studio,1+galaxy0,order|isolate_list,txt,format_2330
crispr_studio,1+galaxy0,rerun|prev_final,tabular,format_3475
crispr_studio,1+galaxy0,rerun|prev_svg,svg,format_2332
mageck_test,0.5.8.1,count_table,tabular,format_3475
mageck_mle,0.5.8.1,count_table,tabular,format_3475
mageck_mle,0.5.8.1,samples|design_matrix,tabular,format_3475
mageck_gsea,0.5.8,rank_file,tabular,format_3475
mageck_gsea,0.5.8,gmt_file,tabular,format_3475
mageck_count,0.5.8.4,reads|sample,fastq,format_1930
mageck_count,0.5.8.4,reads|sgrna_library_file,txt,format_2330
mageck_count,0.5.8.4,reads|counts,tabular,format_3475
mageck_pathway,0.5.8,gene_ranking,tabular,format_3475
mageck_pathway,0.5.8,gmt_file,tabular,format_3475
alevin,0.14.1.2,pairstraight|file1,fastq,format_1930
alevin,0.14.1.2,pairstraight|file2,fastq,format_1930
alevin,0.14.1.2,pairstraight|unmatedreads,fastq,format_1930
alevin,0.14.1.2,tgmap,tsv,format_3475
bg_sortmerna,2.1b.4,input_reads,fasta,format_1929
bg_sortmerna,2.1b.4,databases_type|database_name,fasta,format_1929
qualimap_rnaseq,2.2.2c+galaxy1,seq_info|input,bam,format_2572
qualimap_rnaseq,2.2.2c+galaxy1,seq_info|input,qname_sorted.bam,format_2572
qualimap_rnaseq,2.2.2c+galaxy1,features,gtf,format_2306
kallisto_pseudo,0.46.0.1,reference_transcriptome|reference,fasta,format_1929
kallisto_pseudo,0.46.0.1,single_paired|reads,fastq,format_1930
kallisto_pseudo,0.46.0.1,single_paired|collection|fastq_umi|forward,tabular,format_3475
kallisto_pseudo,0.46.0.1,single_paired|collection|fastq_umi|reverse,fastq,format_1930
kallisto_pseudo,0.46.0.1,single_paired|collection|fastq_umi|forward,fastq,format_1930
kallisto_quant,0.46.0.4,reference_transcriptome|reference,fasta,format_1929
kallisto_quant,0.46.0.4,single_paired|reads,fastq,format_1930
kallisto_quant,0.46.0.4,single_paired|collection|forward,fastq,format_1930
kallisto_quant,0.46.0.4,single_paired|collection|reverse,fastq,format_1930
salmonquantmerge,0.14.1,quantfiles|quants,tsv,format_3475
salmon,0.14.1,quant_type|afile,bam,format_2572
salmon,0.14.1,quant_type|transcript,fasta,format_1929
salmon,0.14.1,geneMap,tabular,format_3475
featurecounts,1.6.4+galaxy1,alignment,bam,format_2572
featurecounts,1.6.4+galaxy1,anno|reference_gene_sets,gff,format_2305
edger,3.24.1+galaxy1,input|rep_factor|rep_group|countsFile,tabular,format_3475
edger,3.24.1+galaxy1,input|counts,tabular,format_3475
edger,3.24.1+galaxy1,input|fact|finfo,tabular,format_3475
edger,3.24.1+galaxy1,anno|geneanno,tabular,format_3475
crosscontamination_barcode_filter,0.3,input_table,tsv,format_3475
crosscontamination_barcode_filter,0.3,input_barcodes,tsv,format_3475
limma_voom,3.38.3+galaxy3,input|rep_factor|rep_group|countsFile,tabular,format_3475
limma_voom,3.38.3+galaxy3,input|counts,tabular,format_3475
limma_voom,3.38.3+galaxy3,input|fact|finfo,tabular,format_3475
limma_voom,3.38.3+galaxy3,anno|geneanno,tabular,format_3475
limma_voom,3.38.3+galaxy3,cont|cinfo,tabular,format_3475
trinotate,3.1.1,trinity,fasta,format_1929
trinotate,3.1.1,transdecoder,fasta,format_1929
trinotate,3.1.1,gene_trans_map,tabular,format_3475
trinotate,3.1.1,blastp,tabular,format_3475
trinotate,3.1.1,blastx,tabular,format_3475
trinotate,3.1.1,hmmscan,txt,format_2330
trinotate,3.1.1,tmhmm,tabular,format_3475
trinotate,3.1.1,signalp,tabular,format_3475
trinotate,3.1.1,cond_download|trinotate_sqlite_in,sqlite,format_3621
dexseq,1.28.1+galaxy1,gtf,gtf,format_2306
dexseq,1.28.1+galaxy1,rep_factorName|countFiles1,tabular,format_3475
dexseq,1.28.1+galaxy1,rep_factorName|countFiles2,tabular,format_3475
plotdexseq,1.28.1.0,rdata,rdata,format_2333
plotdexseq,1.28.1.0,genes|genefile,tabular,format_3475
dexseq_count,1.28.1.0,mode|gtffile,gff,format_2305
dexseq_count,1.28.1.0,mode|bamfile,bam,format_2572
dexseq_count,1.28.1.0,mode|flattened_gtf_in,gff,format_2305
deseq2,2.11.40.6,select_data|rep_factorName|rep_factorLevel|countsFile,tabular,format_3475
deseq2,2.11.40.6,batch_factors,tabular,format_3475
deseq2,2.11.40.6,tximport|mapping_format|gtf_file,gtf,format_2306
deseq2,2.11.40.6,tximport|mapping_format|tabular_file,tabular,format_3475
stringtie_merge,1.3.6,input_gtf,gtf,format_2306
stringtie_merge,1.3.6,guide_gff,gtf,format_2306
stringtie,1.3.6,input_bam,sam,format_2573
stringtie,1.3.6,guide|guide_source|ref_hist,gtf,format_2306
trinity_analyze_diff_expr,2.8.4+galaxy1,matrix,tabular,format_3475
trinity_analyze_diff_expr,2.8.4+galaxy1,samples,tabular,format_3475
ruvseq,1.16.0,rep_factorLevel|countsFile,tabular,format_3475
ruvseq,1.16.0,tximport|mapping_format|gtf_file,gtf,format_2306
ruvseq,1.16.0,tximport|mapping_format|tabular_file,tabular,format_3475
egsea,1.10.0,input|rep_factor|rep_group|countsFile,tabular,format_3475
egsea,1.10.0,input|counts,tabular,format_3475
egsea,1.10.0,input|fact|finfo,tabular,format_3475
egsea,1.10.0,genes,tabular,format_3475
selectsequencesfrommsa,1.0.5,input_clustal,clustal,format_2330
cofold,2.0.4.0,infile,fasta,format_1929
rnaz_cluster,2.1,input,text,None
dr_disco_classify,0.14.0,dr_disco_detect_output,tabular,format_3475
dr_disco_classify,0.14.0,blacklist_regions,bed,format_3003
dr_disco_classify,0.14.0,blacklist_junctions,tabular,format_3475
dr_disco_fix,0.14.0,star_discordant_alignment,bam,format_2572
dr_disco_bam_extract,0.14.0,input_alignment,bam,format_2572
dr_disco_integrate,0.14.0,dr_disco_classify_output,tabular,format_3475
dr_disco_integrate,0.14.0,gtf,gtf,format_2306
dr_disco_detect,0.14.0,star_discordant_alignment_fixed,bam,format_2572
mea,0.6.4.1,predict_mode|dotplot,rna_eps,format_3466
cmcv,1.0.8,model_filepath,cm,format_2330
cmcv,1.0.8,cmcompare_file,cmcompare,None
rnaz_randomize_aln,2.1,input,text,None
rnaz_select_seqs,2.1,input,txt,format_2330
rnaz_window,2.1,input,txt,format_2330
rnaz_annotate,2.1,input,txt,format_2330
rnaz_annotate,2.1,bed,bed,format_3003
deg_annotate,1.1.0,input_table,tabular,format_3475
deg_annotate,1.1.0,annotation,gff,format_2305
slamdunk,0.3.3+galaxy2,reference_source|ref_file,fasta,format_1929
slamdunk,0.3.3+galaxy2,Reference,bed,format_3003
slamdunk,0.3.3+galaxy2,reads,fastqsanger,format_1932
alleyoop,0.3.3,reference_source|ref_file,fasta,format_1929
alleyoop,0.3.3,Reference,bed,format_3003
alleyoop,0.3.3,reads,sam,format_2573
alleyoop,0.3.3,count_tsvs,tabular,format_3475
alleyoop,0.3.3,variants,vcf,format_3016
scpipe,1.0.0+galaxy1,samples|bam,bam,format_2572
scpipe,1.0.0+galaxy1,samples|barcodes,tabular,format_3475
scpipe,1.0.0+galaxy1,samples|ref_fasta|ref_fa_hist,fasta,format_1929
scpipe,1.0.0+galaxy1,samples|paired_format|in1,fastq.gz,format_1930
scpipe,1.0.0+galaxy1,samples|paired_format|in2,fastq.gz,format_1930
scpipe,1.0.0+galaxy1,exons,gff3,format_1975
locarna_multiple,1.9.0.1,input_data_type|input_data,fasta,format_1929
locarna_multiple,1.9.0.1,input_data_type|input_data,text,None
cmv,1.0.8,model_filepath,cm,format_2330
ribotaper_create_metaplots,0.1.0,ribo_bam,bam,format_2572
ribotaper_create_metaplots,0.1.0,start_stops_FAR,bed,format_3003
ribotaper_ribosome_profiling,0.1.0,annotation_path,tar,format_2333
ribotaper_ribosome_profiling,0.1.0,ribo_bam,BAM,None
ribotaper_ribosome_profiling,0.1.0,rna_bam,BAM,None
ribotaper_create_annotation,0.1.0,gtf,GTF,None
ribotaper_create_annotation,0.1.0,fa,fasta,format_1929
pipmir,0.1.0,input_bam,sam,format_2573
pipmir,0.1.0,refGenomeSource|ownFile,fasta,format_1929
nastiseq,1.0,annotation,gtf,format_2306
nastiseq,1.0,positive_pair,tabular,format_3475
nastiseq,1.0,count_smt,tabular,format_3475
nastiseq,1.0,count_asmt,tabular,format_3475
flaimapper,3.0.0-0,alignment,bam,format_2572
flaimapper,3.0.0-0,output_select|fasta,fasta,format_1929
flaimapper,3.0.0-0,parameters,txt,format_2330
targetfinder,1.7.0,f,fasta,format_1929
targetfinder,1.7.0,d,fasta,format_1929
fuma,3.0.5-g0,datasets|sample,txt,format_2330
fuma,3.0.5-g0,datasets|gene_annotation,bed,format_3003
RNAlien,1.3.6,input_sequence,fasta,format_1929
blockclust,1.1.0,tool_mode|reads_bam,bam,format_2572
blockclust,1.1.0,tool_mode|input_bbo,tabular,format_3475
blockclust,1.1.0,tool_mode|cmsearch_out,tabular,format_3475
blockclust,1.1.0,tool_mode|clusters_bed,bed,format_3003
blockclust,1.1.0,tool_mode|sim_tab_in,tabular,format_3475
trinity_gene_to_trans_map,2.8.4,assembly,fasta,format_1929
trinity_samples_qccheck,2.8.4,matrix,tabular,format_3475
trinity_samples_qccheck,2.8.4,samples,tabular,format_3475
trinity_define_clusters_by_cutting_tree,2.8.4,rdata,RData,None
trinity_run_de_analysis,2.8.4,matrix,tabular,format_3475
trinity_run_de_analysis,2.8.4,samples,tabular,format_3475
trinity_filter_low_expr_transcripts,2.8.4,assembly,fasta,format_1929
trinity_filter_low_expr_transcripts,2.8.4,matrix,tabular,format_3475
trinity_contig_exn50_statistic,2.8.4,matrix,tabular,format_3475
trinity_contig_exn50_statistic,2.8.4,transcripts,fasta,format_1929
trinity_abundance_estimates_to_matrix,2.8.4,samples,tabular,format_3475
trinity_abundance_estimates_to_matrix,2.8.4,gene_trans_map,tabular,format_3475
trinity_align_and_estimate_abundance,2.8.4,transcripts,fasta,format_1929
trinity_align_and_estimate_abundance,2.8.4,inputs|left_input,fasta,format_1929
trinity_align_and_estimate_abundance,2.8.4,inputs|right_input,fasta,format_1929
trinity_align_and_estimate_abundance,2.8.4,inputs|input,fasta,format_1929
trinity_super_transcripts,2.8.4,assembly,fasta,format_1929
trinity,2.8.4,pool|inputs|input,fasta,format_1929
trinity,2.8.4,pool|inputs|left_input,fasta,format_1929
trinity,2.8.4,pool|inputs|right_input,fasta,format_1929
rseqc_geneBody_coverage,2.6.4.3,batch_mode|input,bam,format_2572
rseqc_geneBody_coverage,2.6.4.3,batch_mode|inputs,bam,format_2572
rseqc_geneBody_coverage,2.6.4.3,refgene,bed12,format_3586
seurat,2.3.4,counts,tabular,format_3475
heinz_visualization,0.1.0,subnetwork,txt,format_2330
heinz_bum,1.0,p_values,txt,format_2330
heinz,1.0,score,txt,format_2330
heinz,1.0,edge,txt,format_2330
heinz_scoring,1.0,node,txt,format_2330
heinz_scoring,1.0,input_type|input_bum,txt,format_2330
migmap,1.0.2.2,input,fasta,format_1929
sshmm,1.0.7,input_bed_file,bed,format_3003
sshmm,1.0.7,genome_fasta_file,fasta,format_1929
rcas,1.5.4,input_gtf_file,GTF,None
rcas,1.5.4,analysis_type|single_bed_file,bed,format_3003
rcas,1.5.4,analysis_type|gsea_set|input_human_msigdb_gmt,tabular,format_3475
rcas,1.5.4,analysis_type|multi_bed_file,bed,format_3003
feelnc,0.1.1.1,transcripts,gtf,format_2306
feelnc,0.1.1.1,annotation,gtf,format_2306
feelnc,0.1.1.1,genome,fasta,format_1929
rseqc_geneBody_coverage2,2.6.4.1,input,bigwig,format_3006
rseqc_geneBody_coverage2,2.6.4.1,refgene,bed12,format_3586
rseqc_RPKM_saturation,2.6.4.1,input,bam,format_2572
rseqc_RPKM_saturation,2.6.4.1,refgene,bed12,format_3586
rseqc_infer_experiment,2.6.4.1,input,bam,format_2572
rseqc_infer_experiment,2.6.4.1,refgene,bed12,format_3586
rseqc_RNA_fragment_size,2.6.4.1,input,bam,format_2572
rseqc_RNA_fragment_size,2.6.4.1,refgene,bed12,format_3586
rseqc_tin,2.6.4.1,input,bam,format_2572
rseqc_tin,2.6.4.1,refgene,bed12,format_3586
graphprot_predict_profile,1.1.7,fasta_file,fasta,format_1929
graphprot_predict_profile,1.1.7,select_model|model_file,data,format_1915
graphprot_predict_profile,1.1.7,select_model|set_params|params_file,txt,format_2330
rseqc_junction_saturation,2.6.4.1,input,bam,format_2572
rseqc_junction_saturation,2.6.4.1,refgene,bed12,format_3586
rseqc_FPKM_count,2.6.4.1,input,bam,format_2572
rseqc_FPKM_count,2.6.4.1,refgene,bed12,format_3586
rseqc_read_distribution,2.6.4.1,input,bam,format_2572
rseqc_read_distribution,2.6.4.1,refgene,bed12,format_3586
rbc_rnacode,0.3.1,alignment,clustal,format_2330
rseqc_junction_annotation,2.6.4.1,input,bam,format_2572
rseqc_junction_annotation,2.6.4.1,refgene,bed12,format_3586
rseqc_inner_distance,2.6.4.1,input,bam,format_2572
rseqc_inner_distance,2.6.4.1,refgene,bed12,format_3586
rnaz,2.1.1,input,txt,format_2330
RNAshapes,3.3.0,param_in,fasta,format_1929
htseq_count,0.9.1,samfile,sam,format_2573
htseq_count,0.9.1,gfffile,gff,format_2305
htseq_count,0.9.1,advanced_options|samout_conditional|reference_source|ref_file,fasta,format_1929
viennarna_rnafold,2.2.10.4,input_source|fasta_input,fasta,format_1929
idr,2.0.3,primus,bed,format_3003
idr,2.0.3,secundus,bed,format_3003
idr,2.0.3,peak_list,bed,format_3003
viennarna_rnacofold,2.2.10.0,input,fasta,format_1929
viennarna_rnaalifold,2.2.10.1,input,clustal,format_2330
rseqc_deletion_profile,2.6.4,input,bam,format_2572
rseqc_read_NVC,2.6.4,input,bam,format_2572
rseqc_bam_stat,2.6.4,input,bam,format_2572
rseqc_read_duplication,2.6.4,input,bam,format_2572
rseqc_read_GC,2.6.4,input,bam,format_2572
rseqc_insertion_profile,2.6.4,input,bam,format_2572
rseqc_bam2wig,2.6.4,input,bam,format_2572
rseqc_bam2wig,2.6.4,chromsize,txt,format_2330
rseqc_clipping_profile,2.6.4,input,bam,format_2572
rseqc_read_quality,2.6.4,input,bam,format_2572
rseqc_read_hexamer,2.6.4,inputs,fasta,format_1929
rseqc_read_hexamer,2.6.4,refgenome,fasta,format_1929
rseqc_read_hexamer,2.6.4,refgene,fasta,format_1929
rseqc_mismatch_profile,2.6.4,input,bam,format_2572
segemehl,0.2.0.3,refGenomeSource|own_reference_genome,fasta,format_1929
segemehl,0.2.0.3,library|input_query,fastqsanger,format_1932
segemehl,0.2.0.3,library|mate_list|first_strand_query,fastqsanger,format_1932
segemehl,0.2.0.3,library|mate_list|second_strand_query,fastqsanger,format_1932
masigpro,1.49.3.1,source|edesign,tabular,format_3475
masigpro,1.49.3.1,source|data,tabular,format_3475
masigpro,1.49.3.1,source|rep_time|files,tabular,format_3475
masigpro,1.49.3.1,source|rep_groups|files,tabular,format_3475
masigpro,1.49.3.1,source|rep_repl|files,tabular,format_3475
cufflinks,2.2.1.2,input,sam,format_2573
cufflinks,2.2.1.2,reference_annotation|reference_annotation_file,gff3,format_1975
cufflinks,2.2.1.2,reference_annotation|reference_annotation_guide_file,gff3,format_1975
cufflinks,2.2.1.2,bias_correction|seq_source|ref_file,fasta,format_1929
cufflinks,2.2.1.2,advanced_settings|mask_file,gff3,format_1975
cuffcompare,2.2.1.1,inputs,gtf,format_2306
cuffcompare,2.2.1.1,annotation|reference_annotation,gff3,format_1975
cuffcompare,2.2.1.1,seq_data|seq_source|ref_file,fasta,format_1929
cuffnorm,2.2.1.2,gtf_input,gtf,format_2306
cuffnorm,2.2.1.2,in_type|conditions|samples,sam,format_2573
cuffnorm,2.2.1.2,in_type|conditions|samples,cxb,format_2333
cuffquant,2.2.1.1,gtf_input,gtf,format_2306
cuffquant,2.2.1.1,samples|sample,sam,format_2573
cuffquant,2.2.1.1,bias_correction|seq_source|ref_file,fasta,format_1929
cuffquant,2.2.1.1,advanced_settings|mask_file,gtf,format_2306
cuffmerge,2.2.1.1,inputs,gtf,format_2306
cuffmerge,2.2.1.1,annotation|reference_annotation,gff3,format_1975
cuffmerge,2.2.1.1,seq_data|seq_source|ref_file,fasta,format_1929
cummeRbund,2.16.0,input_database,sqlite,format_3621
cuffdiff,2.2.1.5,gtf_input,gtf,format_2306
cuffdiff,2.2.1.5,in_type|conditions|samples,sam,format_2573
cuffdiff,2.2.1.5,in_type|conditions|samples,cxb,format_2333
cuffdiff,2.2.1.5,bias_correction|seq_source|ref_file,fasta,format_1929
cuffdiff,2.2.1.5,advanced_settings|mask_file,gtf,format_2306
transdecoder,3.0.1,input,fasta,format_1929
sailfish,0.10.1.1,refTranscriptSource|ownFile,fasta,format_1929
sailfish,0.10.1.1,single_or_paired|input_singles,fastq,format_1930
sailfish,0.10.1.1,single_or_paired|input_mate1,fastq,format_1930
sailfish,0.10.1.1,single_or_paired|input_mate2,fastq,format_1930
sailfish,0.10.1.1,geneMap,tabular,format_3475
viennarna_rnaeval,2.2.10.0,input,txt,format_2330
viennarna_rnaeval,2.2.10.0,advancedOptions|shapeOption|shapeFile,txt,format_2330
viennarna_rnaplex,2.2.10.0,clustalOption|input,fasta,format_1929
viennarna_rnaplex,2.2.10.0,clustalOption|input1,txt,format_2330
viennarna_rnaplex,2.2.10.0,clustalOption|input2,txt,format_2330
viennarna_rna2dfold,2.2.10.0,custom_input,txt,format_2330
viennarna_rnapaln,2.2.10.0,input,fasta,format_1929
viennarna_rnaplot,2.2.10.0,input,txt,format_2330
viennarna_rnasnoop,2.2.10.0,filetypeOptions|input1,fasta,format_1929
viennarna_rnasnoop,2.2.10.0,filetypeOptions|input2,fasta,format_1929
viennarna_rnasnoop,2.2.10.0,filetypeOptions|input1,txt,format_2330
viennarna_rnasnoop,2.2.10.0,filetypeOptions|input2,txt,format_2330
viennarna_kinfold,1.3.0.0,input,txt,format_2330
viennarna_rnaaliduplex,2.2.10.0,input1,txt,format_2330
viennarna_rnaaliduplex,2.2.10.0,input2,txt,format_2330
viennarna_rnaduplex,2.2.10.0,input,fasta,format_1929
viennarna_rnadistance,2.2.10.0,input,txt,format_2330
viennarna_rnadpdist,2.2.10.0,input,fasta,format_1929
viennarna_rnalfold,2.2.10.0,fasta_input,fasta,format_1929
viennarna_rnapkplex,2.2.10.0,input,fasta,format_1929
viennarna_rnaup,2.2.10.0,input,fasta,format_1929
viennarna_rnalalifold,2.2.10.0,input,txt,format_2330
viennarna_rnainverse,2.2.10.0,input,fasta,format_1929
viennarna_rnaheat,2.2.10.0,input,fasta,format_1929
viennarna_rnasubopt,2.2.10.0,input,fasta,format_1929
infernal_cmalign,1.1.2.0,seqdb,fasta,format_1929
infernal_cmalign,1.1.2.0,cm_opts|cmfile,cm,format_2330
infernal_cmsearch,1.1.2.0,seqdb,fasta,format_1929
infernal_cmsearch,1.1.2.0,cm_opts|cmfile,cm,format_2330
infernal_cmscan,1.1.2.0,seqdb,fasta,format_1929
infernal_cmscan,1.1.2.0,cm_opts|cmfile,cm,format_2330
infernal_cmscan,1.1.2.0,aux_files,tar,format_2333
infernal_cmpress,1.1.2.0,cm_opts|cmfile,cm,format_2330
infernal_cmbuild,1.1.2.0,alignment_infile,stockholm,format_1961
infernal_cmstat,1.1.2.0,cm_opts|cmfile,cm,format_2330
